	name	lenght	energy	x	y	z	dx	dy	dz	
	Epair	40839.97046054905	91992660.33502878	0.0011268583667361374	-0.11454323514064609	-40839.97046020027	-1.3467641181376956e-06	-9.802222653308033e-06	-0.9999999999510484	
	Epair	42461.476008296064	91987215.25574167	-0.0001241081304128623	-0.13166099508070797	-42461.47600785644	-2.1382280326125143e-07	-1.135756953543602e-05	-0.999999999935477	
	Epair	42476.59383298873	91455272.18814915	-0.0001280122054809062	-0.13183324136305885	-42476.593832548126	-2.591507626579814e-07	-1.1379902276138853e-05	-0.9999999999352123	
	DeltaE	42892.12837830602	91453088.87102494	-0.0004145914797842824	-0.1365389160675983	-42892.12837783867	-1.1066088636982135e-06	-1.1442246661703085e-05	-0.9999999999339221	
	Epair	43632.55016464411	91450075.39980882	-0.0015846260607580186	-0.14488258363251325	-43632.55016412882	-9.241871206476031e-07	-1.1158717332919109e-05	-0.9999999999373114	
	Epair	44470.97589110999	91444974.39662303	-0.002988401900336492	-0.15390811560981169	-44470.97589054494	-2.2894151426146615e-06	-1.0490050915864697e-05	-0.9999999999423556	
	Epair	44788.31228560897	91441400.25535664	-0.003767904957257281	-0.1572620040607362	-44788.31228502523	-3.031454951282626e-06	-1.0709810385482937e-05	-0.9999999999380519	
	Epair	44837.17241749787	91314238.46508725	-0.0039101265324033435	-0.15778810503284818	-44837.1724169111	-2.7460622923675304e-06	-1.0883065422622795e-05	-0.9999999999370058	
	Epair	45278.40873991573	91300967.33544567	-0.005245674081547488	-0.1623190552479244	-45278.40873930367	-3.068746962495381e-06	-1.0151752335607658e-05	-0.9999999999437591	
	Epair	45399.21726560508	91280177.32000326	-0.005586975824542592	-0.16353512162338224	-45399.217264986415	-2.6910727687545847e-06	-1.026604907976496e-05	-0.9999999999436799	
	Epair	45543.08271392683	91246028.67464161	-0.0059956948258086526	-0.16501454209485866	-45543.08271329998	-3.0333592451771416e-06	-1.014934320123746e-05	-0.9999999999438915	
